epoch,accuracy,loss,val_accuracy,val_loss
0,0.43042001128196716,1.5500445365905762,0.49790000915527344,1.3789405822753906
1,0.5739399790763855,1.1992230415344238,0.5774000287055969,1.1793806552886963
2,0.6255999803543091,1.0570526123046875,0.6226999759674072,1.0652587413787842
3,0.6614999771118164,0.9625232815742493,0.6367999911308289,1.0202535390853882
4,0.6887800097465515,0.8874021172523499,0.6256999969482422,1.060609221458435
5,0.7070800065994263,0.8344683051109314,0.6865000128746033,0.8994086980819702
6,0.7256600260734558,0.7852439880371094,0.703000009059906,0.8554884791374207
7,0.7407600283622742,0.7353747487068176,0.6974999904632568,0.8642057776451111
8,0.7536600232124329,0.6996813416481018,0.7103000283241272,0.855004072189331
9,0.769860029220581,0.6612326502799988,0.7095999717712402,0.8658583760261536
